Date,Close,Volume,Inflation,Unemployment,GDP_Growth_Rate,GDP,Interest_rate,CPI
17-09-2008,1156.390015,9431870000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
18-09-2008,1206.51001,10082690000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
19-09-2008,1255.079956,9387170000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
22-09-2008,1207.089966,5368130000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
23-09-2008,1188.219971,5185730000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
24-09-2008,1185.869995,4820360000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
25-09-2008,1209.180054,5877640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
26-09-2008,1213.27002,5383610000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
29-09-2008,1106.420044,7305060000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
30-09-2008,1166.359985,4937680000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
1/10/2008,1161.060059,5782130000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
2/10/2008,1114.280029,6285640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
3/10/2008,1099.22998,6716120000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
6/10/2008,1056.890015,7956020000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
7/10/2008,996.22998,7069210000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
8/10/2008,984.940002,8716330000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
9/10/2008,909.919983,6819000000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
10/10/2008,899.219971,11456230000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
13-10-2008,1003.349976,7263370000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
14-10-2008,998.01001,8161990000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
15-10-2008,907.840027,6542330000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
16-10-2008,946.429993,7984500000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
17-10-2008,940.549988,6581780000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
20-10-2008,985.400024,5175640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
21-10-2008,955.049988,5121830000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
22-10-2008,896.780029,6147980000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
23-10-2008,908.109985,7189900000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
24-10-2008,876.77002,6550050000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
